,Receiver,Description,Country,Year,Grant Size (DKK),Category
154,"Aarhus Universitetshospital -
Center for Akutforskning",COVID-19 respons - Lungeultralydsscanning,Danmark,2020,339,Forskning og læring
155,Aalborg Universitet -  Datalogi,COVID-19 respons - Beslutningsstøtte,Danmark,2020,1205,Forskning og læring
156,"Aalborg Universitet - Kemi
og Bioscience",Fosfor forprojekt,Danmark,2020,400,Forskning og læring
157,Flere universiteter,Bæredygting Sørestaurering 2021,Danmark,2020,14440,Forskning og læring
158,Aalborg Universitet - Energiteknik,CoDE I - Effektelektronik,Danmark,2020,4002,Forskning og læring
159,Luther Stiftung,Jugend Unternimmt Sommerskole 2021,Tyskland,2020,112,Forskning og læring
160,Naturvidenskabernes Hus,Besøg i Huset,Danmark,2020,7385,Forskning og læring
161,"Danmarks Tekniske Universitet -
Skylab",IWA Next Generation Urban Water Action,Danmark,2020,750,Forskning og læring
162,Copenhagen Business School,De Erhvervsdrivende Fonde i Coronakrisen,Danmark,2020,1000,Forskning og læring
163,"Syddansk Universitet -
Institut for Fysik, Kemi og Farmaci",Grundfosprisen 2020 - forskningsmidler,Danmark,2020,750,Forskning og læring
164,Lektor Dorthe Bomholdt Ravnsbæk,Grundfosprisen 2020 - personlig anerkendelse,Danmark,2020,250,Forskning og læring
165,DRC Dansk Flygtningehjælp,Social investeringsmodel for arbejds- markedsinklusion,Danmark,2020,7115,Inklusion og Samfundsengagement 
166,DEFACTUM,Flere i Fællesskabet (Region Midtjylland),Danmark,2020,2525,Inklusion og Samfundsengagement 
167,Dansk Røde Kors,"COVID-19 respons - Besøgshjælp til ældre
og ensomme",Danmark,2020,1200,Inklusion og Samfundsengagement 
168,Dansk Røde Kors,"COVID-19 respons - Snak Sammen
(digitalt mødested)",Danmark,2020,300,Inklusion og Samfundsengagement 
169,Den Sociale Retshjælp,COVID-19 respons - Digital omstilling,Danmark,2020,500,Inklusion og Samfundsengagement 
170,Foreningen Møllerne,Broen - værested for unge i Bjerringbro,Danmark,2020,130,Inklusion og Samfundsengagement 
171,Frelsens Hær,Juledonation,Danmark,2020,500,Inklusion og Samfundsengagement 
172,Mødrehjælpen,Juledonation,Danmark,2020,500,Inklusion og Samfundsengagement 
173,Dansk Røde Kors,Juledonation,Danmark,2020,500,Inklusion og Samfundsengagement 
174,De hjemløses organisation SAND,Juledonation,Danmark,2020,500,Inklusion og Samfundsengagement 
175,Boligselskabet Viborg,Job i almene boligområder,Danmark,2020,2000,Inklusion og Samfundsengagement 
176,"Energimuseet, Bjerringbro","Udvikling af nyt energimuseum med fokus
på bæredygtighed",Danmark,2020,2500,Inklusion og Samfundsengagement 
177,LIFE Exhibitions,Udstilling om FN´s 17 verdensmål,Danmark,2020,250,Inklusion og Samfundsengagement 
178,Gitte Redder og Karin Palshøj,"Bogprojekt om Dronning Margrethes 50 år
som regent",Danmark,2020,300,Inklusion og Samfundsengagement 
179,25 Grundfos-ansatte,Poul Due Jensens Innovationspris og Studielegater 2020,Global,2020,435,Inklusion og Samfundsengagement 
180,ASSIST Asia,Poul Due Jensens Pris for Social Ansvarlighed 2020,Filippinerne,2020,149,Inklusion og Samfundsengagement 
181,"Jingmen Red Cross og
Xiantao Charity Federation",COVID-19 respons - Nødhjælp til hospitaler i Hubei provisen,Kina,2020,735,Community Engagement         
182,"SOSNPO, Save Our Schools, SA",COVID-19 respons - Emergency Hand Was- hing Stations,Sydafrika,2020,206,Community Engagement         
183,The Pharmaceutical Society of Uganda,COVID-19 respons - Lavpris håndsprit,Uganda,2020,67,Community Engagement         
184,Diverse organisationer,COVID-19 respons - Visirer,Global,2020,2052,Community Engagement         
