,Year,Reciever,Grant size (DKK),Description,Institution,Grant Number,Project Category
1382,"År
2020",Mette Marie Harder,"Beløb
DKK 1,315,245",Metropolitan Parliamentary Representation,"Institution
Stockholm University",1383,Reintegration Fellowships
1383,"År
2020",Alicia Lundby,"Beløb
DKK 999,530",The Cellular and Molecular Networks Underpinning Atrial Fibrillation,"Institution
University of Copenhagen",1384,Research Infrastructure
1384,"År
2020",Anne Sofie Søndergaard,"Beløb
DKK 820,000",Developing the first in-situ 14C glacial chronology for North Greenland,"Institution
ETH Zürich, Switzerland",1385,Internationalisation Fellowships
1385,"År
2020",Claus Juul Løland,"Beløb
DKK 378,299",Using biophysical pharmacology to elucidate the conformational dynamics of the human serotonin transporter,"Institution
University of Copenhagen",1386,Research Infrastructure
1386,"År
2020",Bjarke Skærlund Risager,"Beløb
DKK 1,158,800",Resisting Ghettos: State-led Gentrification and Community Organizing in Danish Social Housing,"Institution
University of Toronto",1387,Reintegration Fellowships
1387,"År
2020",William Elbæk Mistegård,"Beløb
DKK 2,005,000",Resurgence and Brane-quantization in Topological Quantum Field Theory,"Institution
Institute for Science and Technology Austria, IST Austria",1388,Reintegration Fellowships
1388,"År
2020",Jonas Hansen,"Beløb
DKK 700,000",Selective and traceless release of truncated CRISPR Cas9 guide RNA for anti-cancer gene editing in NSCLC cells,"Institution
Stanford University",1389,Internationalisation Fellowships
1389,"År
2020",Louise von Gersdorff Jørgensen,"Beløb
DKK 240,000",New fluorescence stereo microscope for zebrafish research,"Institution
University of Copenhagen",1390,Research Infrastructure
1390,"År
2020",Dan Klærke,"Beløb
DKK 228,000",Characterization of purified ion channel proteins,"Institution
University of Copenhagen",1391,Research Infrastructure
1391,"År
2020",IT-Universitetet i København,"Beløb
DKK 863,352",SSH and Sustainable Business: Building a database for SSH impact on sustainability in private sector companies,Institution,1392,Research Infrastructure
1392,"År
2020",Thomas Alexander Davidson,"Beløb
DKK 400,000",High resolution measurements of greenhouse gas dynamics in temporarily stratifying lakes,"Institution
Aarhus University",1393,Research Infrastructure
1393,"År
2020",Henrik Larsen,"Beløb
DKK 1,235,778",Politics of the European Green Deal: What is the Role of Missions?,"Institution
University College London",1394,Reintegration Fellowships
1394,"År
2020",Alexander Schulz,"Beløb
DKK 270,000",Environmental gas-exchange system to study leaves in variable external conditions,"Institution
University of Copenhagen",1395,Research Infrastructure
1395,"År
2020",Anders Hay-Schmidt,"Beløb
DKK 125,000",Sea Snakes: A genomic model system for studying rapid ongoing speciation and adaptation to an aquatic habitat,"Institution
University of Copenhagen",1396,"Field Trips / Research Stays >100,000"
1396,"År
2020",Henrik Dimke,"Beløb
DKK 400,000",Equipment to understand the effect of peripheral calcium-sensing receptor activation in general physiology,"Institution
University of Southern Denmark",1397,Research Infrastructure
1397,"År
2020",Lars Hviid,"Beløb
DKK 540,000",A multi-colour FluoroSpot and ELISpot reader for malaria research at Centre for Medical Parasitology,"Institution
University of Copenhagen",1398,Research Infrastructure
1398,"År
2020",Casper Jacobsen,"Beløb
DKK 1,194,266","The Missionary Dictionary: Native Words, Spanish Concepts, and Pre-Hispanic Paganism","Institution
Independent Research Fund Denmark",1399,Reintegration Fellowships
1399,"År
2020",Anders Østergaard Madsen,"Beløb
DKK 150,000",A versatile humidity controller for the DanMAX beamline at the MAXIV synchrotron,"Institution
University of Copenhagen",1400,Research Infrastructure
1400,"År
2020",Jon Kvist,"Beløb
DKK 949,189",Social investments in Europe - What can be learnt from the Nordic countries?,"Institution
Roskilde University",1401,Monograph Fellowships
1401,"År
2020",Vibe Nielsen,"Beløb
DKK 1,064,869",Decolonising Museums: Changing Curatorial Practices at the Pitt Rivers and Quai Branly,"Institution
University of Oxford",1402,Visiting Fellowships at University of Oxford
1402,"År
2020",Robert Fenton,"Beløb
DKK 750,000",High precision laser capture microdissection system for isolation of individual cell types,"Institution
Aarhus University",1403,Research Infrastructure
1403,"År
2020",Martin Schiller,"Beløb
DKK 4,900,000",Tracking the delivery of volatile elements to terrestrial planets,"Institution
University of Copenhagen",1404,Semper Ardens: Accelerate
1404,"År
2020",Jens Øllgaard Duus,"Beløb
DKK 500,000",An 80 MHz benchtop NMR spectrometer for flow chemistry applications,"Institution
Technical University of Denmark",1405,Research Infrastructure
1405,"År
2020",Janus Juul Eriksen,"Beløb
DKK 1,739,366",DECODENSE: Mean-Field Density Matrix Decompositions,"Institution
University of Bristol",1406,Reintegration Fellowships
1406,"År
2020",Martin Juhl,"Beløb
DKK 700,000","Catalytic Enantioselective 1,2 - Rearrangements Using Lewis Base Catalysis","Institution
University of St. Andrews",1407,Internationalisation Fellowships
1407,"År
2020",Steffen Andersen,"Beløb
DKK 456,490",Understanding the mechanisms of gender disparity in financial choices,"Institution
Copenhagen Business School",1408,Research Infrastructure
1408,"År
2020",Henriette Autzen,"Beløb
DKK 721,592",An ultracentrifuge for high-throughput in vitro preparation of mammalian membrane proteins for structural and functional characterization,"Institution
University of Copenhagen",1409,Research Infrastructure
1409,"År
2020",Ole Pedersen,"Beløb
DKK 173,000",Functional root traits of wetland plants,"Institution
University of Copenhagen",1410,Research Infrastructure
1410,"År
2020",Jasmin Mecinovic,"Beløb
DKK 900,000",Isothermal Titration Calorimeter for Molecular Recognition Studies,"Institution
University of Southern Denmark",1411,Research Infrastructure
1411,"År
2020",Katrine Kehlet Bechsgaard,"Beløb
DKK 1,040,747","His name, her name, their name? Surnames, family practices, and identity","Institution
University of California, Berkeley",1412,Internationalisation Fellowships
1412,"År
2020",Rasmus O. Bak,"Beløb
DKK 5,000,000",Elucidating genetic programs in hematopoietic stem cells,"Institution
Aarhus University",1413,Semper Ardens: Accelerate
1413,"År
2020",Elodie Mandel-Briefer,"Beløb
DKK 4,946,947",Vocal communication and group movement dynamics,"Institution
University of Copenhagen",1414,Semper Ardens: Accelerate
1414,"År
2020",Peter Rasmussen,"Beløb
DKK 1,000,000",Malting and beer production in Danish Prehistory,"Institution
National Museum of Denmark",1415,Research Infrastructure
1415,"År
2020",Pei Liu,"Beløb
DKK 1,215,412",Real-time 3D characterization of bimetallic nanoparticles under operando conditions,Institution,1416,Reintegration Fellowships
1416,"År
2020",Stephanie A. Heusser,"Beløb
DKK 75,000",Characterization of neuropeptide binding to a membrane receptor involved in pain and stroke,"Institution
University of Copenhagen",1417,Research Infrastructure
1417,"År
2020",Jeppe Ågård Kristensen,"Beløb
DKK 1,332,731",Soil carbon feedbacks to reintroduction of large herbivores in Arctic landscapes: Decelerating climate warming?,"Institution
University of Oxford",1418,Visiting Fellowships at University of Oxford
1418,"År
2020",Kasper Hornbæk,"Beløb
DKK 900,000",Presence Lab,"Institution
University of Copenhagen",1419,Research Infrastructure
1419,"År
2020",Angela Fago,"Beløb
DKK 714,840",Mitochondrial adaptations to environmental change,"Institution
Aarhus University",1420,Research Infrastructure
1420,"År
2020",Gemma Clare Solomon Larsen,"Beløb
DKK 445,000",Mechanically Controllable Break-Junction Instrument for Single-Molecule Conductance Spectroscopy,"Institution
University of Copenhagen",1421,Research Infrastructure
1421,"År
2020",Dmitry Kurnosov,"Beløb
DKK 800,962",Evaluating the Efficiency of Electoral Rights under the European Convention: A Cross-Regime Perspective,"Institution
University of Helsinki",1422,Internationalisation Fellowships
1422,"År
2020",Lasse Vinner,"Beløb
DKK 540,000",Renewing the workhorses of the GLOBE institute.,"Institution
University of Copenhagen",1423,Research Infrastructure
1423,"År
2020",Karin Lykke-Hartmann,"Beløb
DKK 100,000",Stimulating dormant eggs to become activated,"Institution
Aarhus University",1424,Research Infrastructure
1424,"År
2020",Keld Laursen,"Beløb
DKK 161,330",The Effects of Open Innovation on Individual-level Stress,"Institution
Copenhagen Business School",1425,Research Infrastructure
1425,"År
2020",Jesper Bendix,"Beløb
DKK 1,000,000",Aoptical furnace for quantum materials discovery,"Institution
University of Copenhagen",1426,Research Infrastructure
1426,"År
2020",Henrik Nielsen,"Beløb
DKK 750,000",Epitranscriptomic sequencing,"Institution
University of Copenhagen",1427,Research Infrastructure
1427,"År
2020",Ulrik Langen,"Beløb
DKK 606,632","Digitization and data processing of the resolution records of the Copenhagen Municipality, 1713-1812","Institution
University of Copenhagen",1428,Research Infrastructure
1428,"År
2020",Ulrik Schmidt,"Beløb
DKK 701,817","A Philosophy of Ambient Sound: Materiality, Technology, Art and the Sonic Environment","Institution
Roskilde University",1429,Monograph Fellowships
1429,"År
2020",Lotte Meinert,"Beløb
DKK 950,352",Sharing Mountains: Ethical Change in Ik Land,"Institution
Aarhus University",1430,Monograph Fellowships
