;Year;Reciever;Grant size (DKK);Description;Region;Project Category;Project Subcategory
123;2023;Vejle Roklub;"Støttet med
18.000 kr.";Projekt hejseværk i Vejle Roklub;Region Syddanmark;LIV I DET LOKALE;Grej og udstyr
124;2023;Maker;"Støttet med
50.000 kr.";Opbygning af makerspace, Toldkammerbygningen;Region Hovedstaden;LIV I DET LOKALE;Grej og udstyr
125;2023;S/I Danske Diakonhjem Friplejehjem;"Støttet med
25.000 kr.";2 eldrevne topersoners cykler til ældre på plejehjem;Region Syddanmark;LIV I DET LOKALE;Transport
126;2023;Middelfart kommune;"Støttet med
12.000 kr.";Skolen ud af huset;Region Syddanmark;LIV I DET LOKALE;Grej og udstyr
127;2023;Bagsværd Vægtløftnings klub;"Støttet med
18.000 kr.";Udvidelse af Bagsværd Vægtløftnings Klub;Region Hovedstaden;LIV I DET LOKALE;Mindre faciliteter
128;2023;Sebber Idrætsforening;"Støttet med
65.000 kr.";Solcelleanlæg til Mødestedet i Valsted;Region Nordjylland;LIV I DET LOKALE;Byggeri
129;2023;Sønderhå-Hørsted Borgerforening;"Støttet med
18.000 kr.";MGP Fest der samler børn og unge;Region Nordjylland;LIV I DET LOKALE;Arrangementer
130;2023;Aveny-T Fonden;"Støttet med
45.000 kr.";Nyt energibesparende lys-udstyr til Aveny-T;Region Hovedstaden;LIV I DET LOKALE;Grej og udstyr
131;2023;Odense Kommune;"Støttet med
4.500 kr.";Samhørighed for OFFs frivillige;Region Syddanmark;LIV I DET LOKALE;Grej og udstyr
132;2023;Marselisborg Centrets Oplysningskreds;"Støttet med
100.000 kr.";Farver på din Lørdag;Region Midtjylland;LIV I DET LOKALE;Aktiviteter
133;2023;Byrum Dyreborg;"Støttet med
10.000 kr.";Fodfæste for ny forening - Byrum Dyreborg;Region Syddanmark;LIV I DET LOKALE;Aktiviteter
134;2023;MammenFri S/I;"Støttet med
12.000 kr.";Syng, spis og snak - arrangement med Marie Frank duo;Region Midtjylland;LIV I DET LOKALE;Honorar og løn
135;2023;Samuelsgårdens Venner;"Støttet med
41.600 kr.";Udeliv ved Samlejren;Region Midtjylland;LIV I DET LOKALE;Materialer
136;2023;Eckersberg Børneunivers S/I;"Støttet med
40.000 kr.";Blans Børnefestival;Region Syddanmark;LIV I DET LOKALE;Arrangementer
137;2023;Den selvejende institution Grundfør Forsamlingshus;"Støttet med
25.000 kr.";Udskiftning af gas til fjernvarme;Region Midtjylland;LIV I DET LOKALE;Renovering og istandsættelse
138;2023;SwingShoes;"Støttet med
100.000 kr.";Socialdans i København og på Frederiksberg;Region Hovedstaden;LIV I DET LOKALE;Arrangementer
139;2023;Børnehaven Planetvej;"Støttet med
17.000 kr.";Nyt gyngestativ til brug af børnehaven samt lokalsamfundet;Region Nordjylland;LIV I DET LOKALE;Materialer
140;2023;Støtteforeningen til Sortekilde Sanse- og Legeaktiviteter;"Støttet med
40.000 kr.";Legeaktiviteter i udeområdet ved Sortekilde;Region Syddanmark;LIV I DET LOKALE;Materialer
141;2023;Ikast Biografforening;"Støttet med
25.000 kr.";Nye sæder til Ikast Biografforening;Region Midtjylland;LIV I DET LOKALE;Renovering og istandsættelse
142;2023;Humanity in Action-Danmark;"Støttet med
25.000 kr.";Humanity in Actions Sommerakademi 2023;Region Hovedstaden;LIV I DET LOKALE;Aktiviteter
143;2023;Hirtshals Musikforening;"Støttet med
65.000 kr.";"Liv i det Lokale - ""Musik under Trappen"" for alle.";Region Nordjylland;LIV I DET LOKALE;Aktiviteter
144;2023;Næstved Motor Klub Hovedafdeling;"Støttet med
12.500 kr.";Varmepumpe og isolering;Region Sjælland;LIV I DET LOKALE;Byggeri
145;2023;Ubberup Højskole;"Støttet med
12.000 kr.";Syng, spis og snak arrangement;Region Sjælland;LIV I DET LOKALE;Arrangementer
146;2023;Det Lille Teater;"Støttet med
125.000 kr.";Kultur Retur over Bispeengbuen;Region Hovedstaden;LIV I DET LOKALE;Aktiviteter
147;2023;Akademisk Boldklub;"Støttet med
20.000 kr.";LED-belysning til anlægget;Region Hovedstaden;LIV I DET LOKALE;Renovering og istandsættelse
148;2023;Den selvejende inst. Struer Museum;"Støttet med
40.000 kr.";Etablering af solcelleanlæg til driftsoptimering;Region Midtjylland;LIV I DET LOKALE;Byggeri
149;2023;Kørestolsdans i Danmark;"Støttet med
25.000 kr.";Danish Wheelchair Dance Cup 2023;Region Sjælland;LIV I DET LOKALE;Arrangementer
150;2023;Dch Svenstrup;"Støttet med
12.000 kr.";Støtte til terrassemøbler og indendørs borde og stole;Region Nordjylland;LIV I DET LOKALE;Grej og udstyr
151;2023;Sorø Disc Golf Klub;"Støttet med
8.000 kr.";Støtte til anskaffelse af havetraktor;Region Sjælland;LIV I DET LOKALE;Grej og udstyr
152;2023;Mentornetværk i Esbjerg/Varde;"Støttet med
19.500 kr.";Fælles fokus giver fremgang;Region Syddanmark;LIV I DET LOKALE;Aktiviteter
153;2023;Thorning Friluftsspil;"Støttet med
25.000 kr.";Brugt gardintrailer som lever op til færdselsloven;Region Midtjylland;LIV I DET LOKALE;Grej og udstyr
154;2023;Blære Idrætsforening;"Støttet med
25.000 kr.";Nye gymnastikredskaber til Blæres Gymnastikafdeling;Region Nordjylland;LIV I DET LOKALE;Grej og udstyr
