,Title,Grant size (DKK),Receiver,Project_category,Project_subcategory
1305,Kit til brug ved akut nøddåb på de Danske Hospitaler (tillægsbevilling) (2017),99775,Individuals,Kultur og samfund,Andre projekter
1306,Exploring the oil degradation capacity of microbes in pristine Arctic environments (2017),1800000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1307,Udviklings- og demonstrationsprojekt for økosystem-baseret marin arealforvaltning (ØKO-MAR) (2017),7500000,NIVA Danmark,Miljø og klima,Miljø og klima
1308,Sanddynamikkens betydning for bundlivet i kystområder (2017),1100000,Rambøll Danmark A/S,Miljø og klima,Miljø og klima
1309,Zoolab - nyt oplevelsescenter i København Zoo (2017),8500000,Zoologisk Have København,Kultur og samfund,Andre projekter
1310,Udvikling og opbygning af Plastic Change – fra iværksætter til organisatorisk stærk spydspids (2017),5200000,Plastic Change,Miljø og klima,Miljø og klima
1311,Elements from the origin and evolution of early life (2017),1700000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1312,Tunable photonic materials inspired by chameleons and copepods (2017),2000000,Aarhus Universitet,Teknisk og naturvidenskabelig forskning,Villum Experiment
1313,The Polo Formativo del Legno Arredo (2016),11000000,Fondazione ITS Rosario Messina,Unge og uddannelse i Europa,Unge og uddannelse i Europa
1314,Kontrol af kvantemekaniske oscillatorer med ikke-klassisk lys (2016),7000000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1315,Search for heavy Higgs particles in diboson decays at LHC run II (2016),2100000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1316,De Kaspiske skove i Iran: En genpulje for tilpasning af europæiske skove? (2016),6000000,Københavns Universitet,Kultur og samfund,Andre projekter
1317,Dynamik i ballistiske nano-ledere: Teori og simulationsværktøjer (2016),4700000,Danmarks Tekniske Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1318,High throughput identifikation af den mikrobielle verden (2016),4000000,Aalborg Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1319,Kausal inferens med ufuldstændige data (2016),4800000,Københavns Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
1320,Mekanisk og fotokemisk stabilisering af fleksible organiske solceller (2016),6000000,Syddansk Universitet,Teknisk og naturvidenskabelig forskning,Teknisk og naturvidenskabelig forskning
