,Title,Project Category,Receiver Name,Grant size (DKK)
88,Andelsbevægelsen og Ukraine (2024),Voksenlivets overgange og forandringer,Hemingway Club,50.000 kr.
89,Terapimåtter med vogn (2024),Voksenlivets overgange og forandringer,Gørding-Lorup Idrætsforening,11.500 kr.
90,Ladcykel til plejehjemsbeboere og frivillige hjælpere (2024),Voksenlivets overgange og forandringer,Plejecenter Rosengården - Jerslev,40.000 kr.
91,Dentalmission Guatemala 2024 (2024),Voksenlivets overgange og forandringer,Tandsundhed uden Grænser,17.500 kr.
92,Studietur til træmuseet og Horn museet (2024),Voksenlivets overgange og forandringer,Ældre Sagen - Hovedkontor,15.000 kr.
93,Udvikling og opbygning af elektrisk optræks-spil til flyene (2024),Voksenlivets overgange og forandringer,Herning Svæveflyveklub,175.000 kr.
94,Foredrag - sammenhæng mellem demens og høretab (2024),Voksenlivets overgange og forandringer,Høreforeningen,6.000 kr.
95,Anskaffelse af redskaber/materialer til senior kultur- og motionscafé (2024),Voksenlivets overgange og forandringer,Asylgården,24.000 kr.
96,Anskaffelse af inrigger til 60+ roere (2024),Voksenlivets overgange og forandringer,Hadsund Roklub,70.000 kr.
97,"Materialer til opgradering af café, butik og udstillingsområde (2024)",Voksenlivets overgange og forandringer,Hørvævsmuseet på Krengerup,100.000 kr.
98,Udstillingen: På slap line (2024),Voksenlivets overgange og forandringer,,7.000 kr.
99,Sammen om Fremtiden - Generationsmøder for håb og klimahandling (2024),Voksenlivets overgange og forandringer,Danmarks Biblioteksforening,"1,8 mio. kr."
100,Anskaffelse af billardborde (2024),Voksenlivets overgange og forandringer,Gørding-Lorup Idrætsforening,30.000 kr.
101,"Overdækning til ""Haabet"" og ""Schrøders Minde"" (2024)",Voksenlivets overgange og forandringer,Træskibsforeningen Faaborg,100.000 kr.
102,Foredrag og udflugter (2024),Voksenlivets overgange og forandringer,Frecia Døves Seniorklub,10.000 kr.
103,Konference om seniorbyggerier med fokus på trivsel og fællesaktiviteter (2024),Voksenlivets overgange og forandringer,Fredensborghusene,89.000 kr.
104,KUNSTEN inviterer indenfor 2024 (2024),Voksenlivets overgange og forandringer,Kunsten inviterer indenfor,10.000 kr.
105,Etablering af stolelift (2024),Voksenlivets overgange og forandringer,Vordingborg Bridge Klub,28.000 kr.
106,Digitalisering af Folkemusikarkivet i Rebild – et seniorprojekt (2024),Voksenlivets overgange og forandringer,Museum Rebild,15.000 kr.
107,Reetablering af stenslibeværksted (2024),Voksenlivets overgange og forandringer,Foreningen af tovholdere - Aktivitetscenter,30.000 kr.
108,Kommunikationsudstyr (2024),Voksenlivets overgange og forandringer,Dansk Søredningsselskab,350.000 kr.
109,Sangbøger (2024),Voksenlivets overgange og forandringer,Ældre Sagen - Hovedkontor,10.000 kr.
110,Diasscanningsudstyr (2024),Voksenlivets overgange og forandringer,Valby Kulturhus - Digitaliseringsværksted København,13.000 kr.
111,OL 2024 - Aktivitetsdag for seniorer (2024),Voksenlivets overgange og forandringer,Ældre Sagen Højfyn,10.000 kr.
112,Kortsorteringsmaskine og PC (2024),Voksenlivets overgange og forandringer,Morud Bridge Klub,20.000 kr.
113,Vejen til den Grønne Omstilling (2024),Voksenlivets overgange og forandringer,"Hemingway Club 1, Køge",23.000 kr.
114,Større ovn til keramikholdene (2024),Voksenlivets overgange og forandringer,Furesø Kommune,15.000 kr.
