,Receiver,Description,Grant size (DKK),Year
14,Descendenter efter Bitten og Mads Clausen,Descendenter efter Bitten og Mads Clausen har modtaget 600.000 kr. til uddannelsesformål.,600000,2013
15,Danfoss Uddannelsesfond,Danfoss Uddannelsesfond modtog 500.000 kr. for at kunne fortsætte sine uddelinger på trods af lave afkast på grundkapitalen.,500000,2013
16,Destinationsudvikling Sønderjylland,Destinationsudvikling Sønderjylland modtog 350.000 kr. til implementering af ”turismens strategiske værktøjskasse”.,350000,2013
17,Dansk-Tysk Innovationspris,Region Syddanmark har modtaget 340.000 kr. til at kunne uddele en Dansk-Tysk Innovationspris i forbindelse med fejringen i 2014.,340000,2013
18,Fonden Univers Science Park,Fonden Univers Science Park har modtaget DKK 25 mio. til drift i årene 2015-2017.,25 mio. kr.,2014
19,Schackenborg Fonden,Schackenborg Fonden har modtaget DKK 25 mio. ved stiftelse.,25 mio. kr.,2014
20,Fabrikant Mads Clausens Fond,Fabrikant Mads Clausens Fond har modtaget DKK 10 mio. til uddeling til almenvelgørende formål.,10 mio. kr.,2014
21,EK Fonden,EK Fonden har modtaget DKK 5 mio. til fremme af sport og kultur i Sønderjylland.,5 mio. kr.,2014
22,Sønderborg Kommune,Sønderborg Kommune har modtaget tilsagn om en rammebevilling på DKK 4 mio. til byudvikling af Sønderborg Havn.,4 mio. kr.,2014
23,Als-Fyn Broen,"Als-Fyn Broen har modtaget tilsagn om en donation op til DKK 4 mio. til samfundsøkonomisk analyse, skitseprojekt og havbundsundersøgelse.",4 mio. kr.,2014
24,Dansk Tekniske Universitet,DTU har modtaget DKK 2 mio. som led i et strategisk partnerskab med Danfoss og DTU Center for Electric Power and Energy (CEE).,2 mio. kr.,2014
25,Syddansk Universitet,Green Water projekt på SDU har modtaget DKK 1 mio. til fase 1. Green Water vil anvende havvand som termisk reservoir.,1 mio. kr.,2014
26,Testcentret Green Lab,Testcentret Green Lab har modtaget DKK 1 mio. i støtte til Ph.D-forløb og etablering af en PET Ph.D afdeling med 4 forløb i Sønderborg.,1 mio. kr.,2014
27,Udviklingsråd Sønderjylland,Udviklingsråd Sønderjylland (URS) har modtaget DKK 1 mio. til projekter i 2015 og 2016.,1 mio. kr.,2014
28,Grøn Energi,Grøn Energi har modtaget DKK 750.000 til en ekstraordinær indsats på systemeksport.,750000,2014
29,Alsie Express,Alsie Express har modtaget DKK 500.000 til ansættelse af en midlertidig ressource indenfor IT og marketing.,500000,2014
30,SønderjyskE Håndbold,SønderjyskE Håndbold i Sønderborg har modtaget DKK 500.000 i støtte. Donationen blev bakket op af et sponsorat fra Danfoss A/S.,500000,2014
31,Uddannelsesstøtte,Descendenter efter Bitten og Mads Clausen har modtaget DKK 447.000 til uddannelsesstøtte.,447000,2014
32,Contemporary Pavilions,Projektet Contemporary Pavilions har modtaget DKK 400.000 til et beslutningsoplæg om etablering af et midlertidigt Kunst- og Arkitekturprojekt på havneområdet.,400000,2014
33,Forskerparken,Forskerparken har modtaget DKK 362.500 til en fremtidig masterplan for alle Forskerparker i Sønderborg.,362500,2014
34,Danfoss Turbocor,Danfoss Turbocor har modtaget DKK 295.725 til et projekt om microjet centrifugal teknologi i partnerskab med Florida State University.,295725,2014
35,Sønderborg Kommune,Sønderborg Kommune har modtaget DKK 150.000 til deltagergebyret i projekt DK2050 om bæredygtig byudvikling.,150000,2014
36,Tænketanken BIG FUTURE,Tænketanken BIG FUTURE har modtaget DKK 150.000 til udgivelsen af en håndbog med anbefalinger til danske erhvervsledere om skabelse af målbar værdi og vækst.,150000,2014
37,Junior Chambers,Junior Chambers har modtaget DKK 100.000 til afholdelse af den Internationale Forårskongres 2014 i Sønderborg.,100000,2014
38,SønderjyskE Ishockey,SønderjyskE Ishockey har modtaget DKK 100.000 til flyvning til udekampe i Finland i Champions Hockey League.,100000,2014
39,Danfoss medarbejdere,To Danfoss medarbejdere har modtaget samlet DKK 87.750 til støtte under ekstraordinære omstændigheder ifølge ny politik for støtte til medarbejdere og deres familier.,87750,2014
40,Projekt Asylcenter,Projekt Asylcenter har modtaget DKK 75.000 til hjælp for asylansøgere med CV og etablering af netværk mellem asylansøgere og virksomheder.,75000,2014
41,Fabrikant Mads Clausens Fond 2015,Fabrikant Mads Clausens Fond har modtaget 20 mio. kr. til uddeling til almenvelgørende formål.,20 mio. kr.,2015
