,Year,Reciever,Grant size (DKK),Description,Project Category
6867,2013,"Danmarks Tekniske Universitet, Landsdækkende",222.000 kr.,Studie: Evakuering og alkohol,GAMMELT
6868,2013,"De grønne pigespejdere og FDF, Give, Midtjylland",10.500 kr.,12 timers førstehjælpskursus,GAMMELT
6869,2013,"Foreningen for Kommunale Beredskabschefer, Landsdækkende",4.700.000 kr.,Brandkadetter i Danmark,GAMMELT
6870,2013,"Vesthimmerlands Kommunale Ungdomsskole, Nordjylland",59.938 kr.,Førstehjælpsudstyr,GAMMELT
6871,2013,"Ældrecenter Fyrglimt, Nordjylland",25.000 kr.,Foredragsholdere for vågekoner,GAMMELT
6872,2013,"Psykiatrisk Center København, Landsdækkende",1.000.000 kr.,’Recovery’-baseret behandling af mennesker med alvorlige sindslidelser,GAMMELT
6873,2013,"Lemvig Kommune, Midtjylland",500.000 kr.,Lemvig lettere - for alle,GAMMELT
6874,2013,"Frivillig arbejdsgruppe vedr. Naturbaseprojekt, Sjælland",10.000 kr.,Brandslukningsudstyr,GAMMELT
6875,2013,"Psykiatrisk Center København, Landsdækkende",5.000.000 kr.,Arbejdsmarkedsrehabilitering af personer med mentale helbredsproblemer,GAMMELT
6876,2013,"Nordthy Hallen, Nordjylland",35.000 kr.,Indkøb af genoplivningsudstyr,GAMMELT
6877,2013,"Psykiatrisk Center København, Landsdækkende",959.189 kr.,Børn af psykisk syge,GAMMELT
6878,2013,"Landsforeningen Ligeværd, Landsdækkende",100.000 kr.,INKLUSION,GAMMELT
6879,2013,"Frederikshavn Openwater, Nordjylland",4.400 kr.,Indkøb af vhf-radioer,GAMMELT
6880,2013,"Odense Universitetshospital, Syddanmark",250.000 kr.,"""Når mor eller far har kræft""",GAMMELT
6881,2013,"Morsø Kommunale Ungdomsskole, Nordjylland",111.069 kr.,Førstehjælp i Morsø Kommune,GAMMELT
6882,2013,"Bruger Pårørende rådet, Nordjylland",10.000 kr.,Kongeågynge,GAMMELT
6883,2013,"FDF Sønderholm-Frejlev, Nordjylland",5.250 kr.,Indkøb af Mini Anne,GAMMELT
6884,2013,"Aalborg Kommune, Nordjylland",40.000 kr.,Opstart af fodboldhold,GAMMELT
